State,Abbreviation,Playlist_ID
Alabama,AL,1HFc7E48A5zBtUsMyHebRF
Alaska,AK,3qBYRlV3puaoPh6c4OlWA3
Arizona,AZ,5qe7HCZcUNhOKMmIfDa0eE
Arkansas,AR,4E68ggTUBhgcu6qGCP7a7K
California,CA,5OwunHb9aAn1FZudOEtWRR
Colorado,CO,7LH3ySCIT9Nroo33d3JuCJ
Connecticut,CT,4HoKUoIB17iYKjAHjCsVKT
Delaware,DE,6JVYbZUcOAbcPbeu3Izz0u
District of Columbia,DC,6TziGebVzwD4W10jBaXblX
Florida,FL,1LkeG5SmB6XDIX6Ksos2by
Georgia,GA,3Cv4d99oTqiKNBcM01JtUl
Hawaii,HI,23nRS8fWZPU9k4a4pBTKBC
Idaho,ID,2mX6TJfS42mOZZbGRH7Jj1
Illinois,IL,3YKxYtIUnvsavUAgymA8hr
Indiana,IN,6kD5QRmidkLmQwp7NuBPjF
Iowa,IA,7kXtViZnMszHDxsCwPEft4
Kansas,KS,7quX21GOZosSQtB4D9cByd
Kentucky,KY,5qsZIvjnOVsMzo2C41GOdk
Louisiana,LA,7mKJn2B9BIx3EiY8u1zkml
Maine,ME,4RDam9EBcp7cCVBqPev7es
Montana,MT,5SZbL5p6pxbktRVOCyNUO9
Nebraska,NE,22nUxgCWQNPdmneh42Wwmd
Nevada,NV,7uHh26RTRB7IUBt6P7kjFd
New Hampshire,NH,1kXaJFrjYh3fdXMJVkx9Cp
New Jersey,NJ,1qo00fdG7NJ0EdYXWiwfo4
New Mexico,NM,2fIVV2ROgh14Xh5YAaTUhO
New York,NY,0B0qAlURwhvGIgpZOa7oHQ
North Carolina,NC,6XCAC6xVatGBH1ECxngilc
North Dakota,ND,0wxqek5L3Cry3dnjl4WA1S
Ohio,OH,0Vsiyln5fBUlVqOoeiftm2
Oklahoma,OK,1kuGjUf3q6NZptuQN6veCi
Oregon,OR,44OQshs0eofT5tt9IajI5W
Maryland,MD,6axkQCWh27d69s42m6PDdM
Massachusetts,MA,47tdAMMKlUyLtTBEtlkT5w
Michigan,MI,0Kz9JMBNi7L9310UNhmQUd
Minnesota,MN,2xBcZSeROqDsLXx4WxsIYa
Mississippi,MS,5TbHDjuzimRRF0Ep4R5sKQ
Missouri,MO,4m3Xk4C8EDKQ0uy55cpMgJ
Pennsylvania,PA,4X9o70HqAKvPVbPt9O9zmU
Rhode Island,RI,26X1rrZLPdVevCEuMVeRCr
South Carolina,SC,4ouAbdKqOHDXFro7pDYCmB
South Dakota,SD,6FrKKU12Jji4asX2ijxHAs
Tennessee,TN,2HYrrm2ROwVFL2bPdS76ii
Texas,TX,1xP80JkhkISo5IWS1YLoNS
Utah,UT,6Fge0nsCb3UqJ5DGaXylSI
Vermont,VT,52zgNdk4XyvymydOB7Cwev
Virginia,VA,3NZY87WBozA9sRgt2WJFC5
Washington,WA,7IaGS2pa6lgMUaIRv7Mvck
West Virginia,WV,6vHecWIYx7RmvFrFQjs9Z2
Wisconsin,WI,2I41dO3qrGGI1WrT46QTkG
Wyoming,WY,2vBxAsLgwyUMUeoVDtN3bT